Planning Area,Subzone,Age,Sex,Count
Ang Mo Kio,Ang Mo Kio Town Centre,29,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,30,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,30,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,30,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,31,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,31,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,31,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,32,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,32,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,32,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,33,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,33,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,33,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,34,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,34,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,34,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,35,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,35,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,35,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,36,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,36,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,36,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,37,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,37,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,37,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,38,Total,80
Ang Mo Kio,Ang Mo Kio Town Centre,38,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,38,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,39,Total,80
Ang Mo Kio,Ang Mo Kio Town Centre,39,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,39,Females,50
Ang Mo Kio,Ang Mo Kio Town Centre,40,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,40,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,40,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,41,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,41,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,41,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,42,Total,80
Ang Mo Kio,Ang Mo Kio Town Centre,42,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,42,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,43,Total,90
Ang Mo Kio,Ang Mo Kio Town Centre,43,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,43,Females,50
Ang Mo Kio,Ang Mo Kio Town Centre,44,Total,80
Ang Mo Kio,Ang Mo Kio Town Centre,44,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,44,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,45,Total,90
Ang Mo Kio,Ang Mo Kio Town Centre,45,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,45,Females,50
Ang Mo Kio,Ang Mo Kio Town Centre,46,Total,90
Ang Mo Kio,Ang Mo Kio Town Centre,46,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,46,Females,50
Ang Mo Kio,Ang Mo Kio Town Centre,47,Total,100
Ang Mo Kio,Ang Mo Kio Town Centre,47,Males,50
Ang Mo Kio,Ang Mo Kio Town Centre,47,Females,50
Ang Mo Kio,Ang Mo Kio Town Centre,48,Total,90
Ang Mo Kio,Ang Mo Kio Town Centre,48,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,48,Females,60
Ang Mo Kio,Ang Mo Kio Town Centre,49,Total,90
Ang Mo Kio,Ang Mo Kio Town Centre,49,Males,50
Ang Mo Kio,Ang Mo Kio Town Centre,49,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,50,Total,90
Ang Mo Kio,Ang Mo Kio Town Centre,50,Males,50
Ang Mo Kio,Ang Mo Kio Town Centre,50,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,51,Total,80
Ang Mo Kio,Ang Mo Kio Town Centre,51,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,51,Females,50
Ang Mo Kio,Ang Mo Kio Town Centre,52,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,52,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,52,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,53,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,53,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,53,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,54,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,54,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,54,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,55,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,55,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,55,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,56,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,56,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,56,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,57,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,57,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,57,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,58,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,58,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,58,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,59,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,59,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,59,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,60,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,60,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,60,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,61,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,61,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,61,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,62,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,62,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,62,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,63,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,63,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,63,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,64,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,64,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,64,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,65,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,65,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,65,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,66,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,66,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,66,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,67,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,67,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,67,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,68,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,68,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,68,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,69,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,69,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,69,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,70,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,70,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,70,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,71,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,71,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,71,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,72,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,72,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,72,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,73,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,73,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,73,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,74,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,74,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,74,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,75,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,75,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,75,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,76,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,76,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,76,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,77,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,77,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,77,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,78,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,78,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,78,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,79,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,79,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,79,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,80,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,80,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,80,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,81,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,81,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,81,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,82,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,82,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,82,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,83,Total,10
Ang Mo Kio,Ang Mo Kio Town Centre,83,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,83,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,84,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,84,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,84,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,85,Total,20
Ang Mo Kio,Ang Mo Kio Town Centre,85,Males,-
Ang Mo Kio,Ang Mo Kio Town Centre,85,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,86,Total,10
Ang Mo Kio,Ang Mo Kio Town Centre,86,Males,-
Ang Mo Kio,Ang Mo Kio Town Centre,86,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,87,Total,10
Ang Mo Kio,Ang Mo Kio Town Centre,87,Males,-
Ang Mo Kio,Ang Mo Kio Town Centre,87,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,88,Total,10
Ang Mo Kio,Ang Mo Kio Town Centre,88,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,88,Females,10
Ang Mo Kio,Ang Mo Kio Town Centre,89,Total,10
Ang Mo Kio,Ang Mo Kio Town Centre,89,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,89,Females,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Total,30
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Males,10
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Females,20
Ang Mo Kio,Cheng San,Total,Total,"27,260"
Ang Mo Kio,Cheng San,Total,Males,"13,140"
Ang Mo Kio,Cheng San,Total,Females,"14,130"
Ang Mo Kio,Cheng San,0,Total,170
Ang Mo Kio,Cheng San,0,Males,90
Ang Mo Kio,Cheng San,0,Females,80
Ang Mo Kio,Cheng San,1,Total,210
Ang Mo Kio,Cheng San,1,Males,120
Ang Mo Kio,Cheng San,1,Females,90
Ang Mo Kio,Cheng San,2,Total,200
Ang Mo Kio,Cheng San,2,Males,110
Ang Mo Kio,Cheng San,2,Females,90
Ang Mo Kio,Cheng San,3,Total,170
Ang Mo Kio,Cheng San,3,Males,90
Ang Mo Kio,Cheng San,3,Females,80
Ang Mo Kio,Cheng San,4,Total,230
Ang Mo Kio,Cheng San,4,Males,120
Ang Mo Kio,Cheng San,4,Females,110
Ang Mo Kio,Cheng San,5,Total,200
Ang Mo Kio,Cheng San,5,Males,110
Ang Mo Kio,Cheng San,5,Females,100
Ang Mo Kio,Cheng San,6,Total,200
Ang Mo Kio,Cheng San,6,Males,110
Ang Mo Kio,Cheng San,6,Females,90
Ang Mo Kio,Cheng San,7,Total,170
Ang Mo Kio,Cheng San,7,Males,80
Ang Mo Kio,Cheng San,7,Females,90
Ang Mo Kio,Cheng San,8,Total,200
Ang Mo Kio,Cheng San,8,Males,100
Ang Mo Kio,Cheng San,8,Females,100
Ang Mo Kio,Cheng San,9,Total,200
Ang Mo Kio,Cheng San,9,Males,110
Ang Mo Kio,Cheng San,9,Females,90
Ang Mo Kio,Cheng San,10,Total,190
Ang Mo Kio,Cheng San,10,Males,110
Ang Mo Kio,Cheng San,10,Females,90
Ang Mo Kio,Cheng San,11,Total,170
Ang Mo Kio,Cheng San,11,Males,100
Ang Mo Kio,Cheng San,11,Females,70
Ang Mo Kio,Cheng San,12,Total,210
Ang Mo Kio,Cheng San,12,Males,120
Ang Mo Kio,Cheng San,12,Females,90
Ang Mo Kio,Cheng San,13,Total,200
Ang Mo Kio,Cheng San,13,Males,110
Ang Mo Kio,Cheng San,13,Females,90
Ang Mo Kio,Cheng San,14,Total,220
Ang Mo Kio,Cheng San,14,Males,110
Ang Mo Kio,Cheng San,14,Females,110
Ang Mo Kio,Cheng San,15,Total,190
Ang Mo Kio,Cheng San,15,Males,100
Ang Mo Kio,Cheng San,15,Females,90
Ang Mo Kio,Cheng San,16,Total,210
Ang Mo Kio,Cheng San,16,Males,110
Ang Mo Kio,Cheng San,16,Females,100
Ang Mo Kio,Cheng San,17,Total,210
Ang Mo Kio,Cheng San,17,Males,110
Ang Mo Kio,Cheng San,17,Females,100
Ang Mo Kio,Cheng San,18,Total,230
Ang Mo Kio,Cheng San,18,Males,120
Ang Mo Kio,Cheng San,18,Females,110
Ang Mo Kio,Cheng San,19,Total,240
Ang Mo Kio,Cheng San,19,Males,120
Ang Mo Kio,Cheng San,19,Females,120
Ang Mo Kio,Cheng San,20,Total,250
Ang Mo Kio,Cheng San,20,Males,130
Ang Mo Kio,Cheng San,20,Females,120
Ang Mo Kio,Cheng San,21,Total,250
Ang Mo Kio,Cheng San,21,Males,150
Ang Mo Kio,Cheng San,21,Females,100
Ang Mo Kio,Cheng San,22,Total,250
Ang Mo Kio,Cheng San,22,Males,150
Ang Mo Kio,Cheng San,22,Females,100
Ang Mo Kio,Cheng San,23,Total,260
Ang Mo Kio,Cheng San,23,Males,150
Ang Mo Kio,Cheng San,23,Females,110
Ang Mo Kio,Cheng San,24,Total,260
Ang Mo Kio,Cheng San,24,Males,120
Ang Mo Kio,Cheng San,24,Females,140
Ang Mo Kio,Cheng San,25,Total,310
Ang Mo Kio,Cheng San,25,Males,150
Ang Mo Kio,Cheng San,25,Females,160
Ang Mo Kio,Cheng San,26,Total,320
Ang Mo Kio,Cheng San,26,Males,170
Ang Mo Kio,Cheng San,26,Females,150
Ang Mo Kio,Cheng San,27,Total,340
Ang Mo Kio,Cheng San,27,Males,170
Ang Mo Kio,Cheng San,27,Females,170
Ang Mo Kio,Cheng San,28,Total,330
Ang Mo Kio,Cheng San,28,Males,160
Ang Mo Kio,Cheng San,28,Females,170
Ang Mo Kio,Cheng San,29,Total,380
Ang Mo Kio,Cheng San,29,Males,200
Ang Mo Kio,Cheng San,29,Females,180
Ang Mo Kio,Cheng San,30,Total,390
Ang Mo Kio,Cheng San,30,Males,190
Ang Mo Kio,Cheng San,30,Females,200
Ang Mo Kio,Cheng San,31,Total,430
Ang Mo Kio,Cheng San,31,Males,210
Ang Mo Kio,Cheng San,31,Females,230
Ang Mo Kio,Cheng San,32,Total,430
Ang Mo Kio,Cheng San,32,Males,190
Ang Mo Kio,Cheng San,32,Females,240
Ang Mo Kio,Cheng San,33,Total,390
Ang Mo Kio,Cheng San,33,Males,180
Ang Mo Kio,Cheng San,33,Females,210
Ang Mo Kio,Cheng San,34,Total,340
Ang Mo Kio,Cheng San,34,Males,170
Ang Mo Kio,Cheng San,34,Females,170
Ang Mo Kio,Cheng San,35,Total,330
Ang Mo Kio,Cheng San,35,Males,140
Ang Mo Kio,Cheng San,35,Females,190
Ang Mo Kio,Cheng San,36,Total,410
Ang Mo Kio,Cheng San,36,Males,210
Ang Mo Kio,Cheng San,36,Females,200
Ang Mo Kio,Cheng San,37,Total,390
Ang Mo Kio,Cheng San,37,Males,170
Ang Mo Kio,Cheng San,37,Females,220
Ang Mo Kio,Cheng San,38,Total,410
Ang Mo Kio,Cheng San,38,Males,180
Ang Mo Kio,Cheng San,38,Females,230
Ang Mo Kio,Cheng San,39,Total,410
Ang Mo Kio,Cheng San,39,Males,190
Ang Mo Kio,Cheng San,39,Females,220
Ang Mo Kio,Cheng San,40,Total,440
Ang Mo Kio,Cheng San,40,Males,210
Ang Mo Kio,Cheng San,40,Females,230
Ang Mo Kio,Cheng San,41,Total,430
Ang Mo Kio,Cheng San,41,Males,210
Ang Mo Kio,Cheng San,41,Females,220
Ang Mo Kio,Cheng San,42,Total,410
Ang Mo Kio,Cheng San,42,Males,200
Ang Mo Kio,Cheng San,42,Females,210
Ang Mo Kio,Cheng San,43,Total,390
Ang Mo Kio,Cheng San,43,Males,180
Ang Mo Kio,Cheng San,43,Females,210
Ang Mo Kio,Cheng San,44,Total,390
Ang Mo Kio,Cheng San,44,Males,190
Ang Mo Kio,Cheng San,44,Females,200
Ang Mo Kio,Cheng San,45,Total,350
Ang Mo Kio,Cheng San,45,Males,170
Ang Mo Kio,Cheng San,45,Females,190
Ang Mo Kio,Cheng San,46,Total,390
Ang Mo Kio,Cheng San,46,Males,180
Ang Mo Kio,Cheng San,46,Females,210
Ang Mo Kio,Cheng San,47,Total,410
Ang Mo Kio,Cheng San,47,Males,180
Ang Mo Kio,Cheng San,47,Females,230
Ang Mo Kio,Cheng San,48,Total,460
Ang Mo Kio,Cheng San,48,Males,220
Ang Mo Kio,Cheng San,48,Females,240
Ang Mo Kio,Cheng San,49,Total,430
Ang Mo Kio,Cheng San,49,Males,220
Ang Mo Kio,Cheng San,49,Females,210
Ang Mo Kio,Cheng San,50,Total,400
Ang Mo Kio,Cheng San,50,Males,210
Ang Mo Kio,Cheng San,50,Females,200
Ang Mo Kio,Cheng San,51,Total,410
Ang Mo Kio,Cheng San,51,Males,220
Ang Mo Kio,Cheng San,51,Females,190
Ang Mo Kio,Cheng San,52,Total,380
Ang Mo Kio,Cheng San,52,Males,180
Ang Mo Kio,Cheng San,52,Females,190
Ang Mo Kio,Cheng San,53,Total,370
Ang Mo Kio,Cheng San,53,Males,180
Ang Mo Kio,Cheng San,53,Females,200
Ang Mo Kio,Cheng San,54,Total,380
Ang Mo Kio,Cheng San,54,Males,190
Ang Mo Kio,Cheng San,54,Females,200
Ang Mo Kio,Cheng San,55,Total,420
Ang Mo Kio,Cheng San,55,Males,200
Ang Mo Kio,Cheng San,55,Females,220
Ang Mo Kio,Cheng San,56,Total,430
Ang Mo Kio,Cheng San,56,Males,210
Ang Mo Kio,Cheng San,56,Females,220
Ang Mo Kio,Cheng San,57,Total,400
Ang Mo Kio,Cheng San,57,Males,180
Ang Mo Kio,Cheng San,57,Females,220
Ang Mo Kio,Cheng San,58,Total,450
Ang Mo Kio,Cheng San,58,Males,240
Ang Mo Kio,Cheng San,58,Females,220
Ang Mo Kio,Cheng San,59,Total,390
Ang Mo Kio,Cheng San,59,Males,210
Ang Mo Kio,Cheng San,59,Females,180
Ang Mo Kio,Cheng San,60,Total,390
Ang Mo Kio,Cheng San,60,Males,190
Ang Mo Kio,Cheng San,60,Females,190
Ang Mo Kio,Cheng San,61,Total,420
Ang Mo Kio,Cheng San,61,Males,210
Ang Mo Kio,Cheng San,61,Females,210
Ang Mo Kio,Cheng San,62,Total,390
Ang Mo Kio,Cheng San,62,Males,200
Ang Mo Kio,Cheng San,62,Females,190
Ang Mo Kio,Cheng San,63,Total,400
Ang Mo Kio,Cheng San,63,Males,180
Ang Mo Kio,Cheng San,63,Females,230
Ang Mo Kio,Cheng San,64,Total,420
Ang Mo Kio,Cheng San,64,Males,160
Ang Mo Kio,Cheng San,64,Females,270
Ang Mo Kio,Cheng San,65,Total,410
Ang Mo Kio,Cheng San,65,Males,180
Ang Mo Kio,Cheng San,65,Females,230
Ang Mo Kio,Cheng San,66,Total,450
Ang Mo Kio,Cheng San,66,Males,200
Ang Mo Kio,Cheng San,66,Females,260
Ang Mo Kio,Cheng San,67,Total,430
Ang Mo Kio,Cheng San,67,Males,200
Ang Mo Kio,Cheng San,67,Females,230
Ang Mo Kio,Cheng San,68,Total,420
Ang Mo Kio,Cheng San,68,Males,190
Ang Mo Kio,Cheng San,68,Females,230
Ang Mo Kio,Cheng San,69,Total,430
Ang Mo Kio,Cheng San,69,Males,190
Ang Mo Kio,Cheng San,69,Females,240
Ang Mo Kio,Cheng San,70,Total,390
Ang Mo Kio,Cheng San,70,Males,160
Ang Mo Kio,Cheng San,70,Females,230
Ang Mo Kio,Cheng San,71,Total,390
Ang Mo Kio,Cheng San,71,Males,180
Ang Mo Kio,Cheng San,71,Females,210
Ang Mo Kio,Cheng San,72,Total,410
Ang Mo Kio,Cheng San,72,Males,200
Ang Mo Kio,Cheng San,72,Females,210
Ang Mo Kio,Cheng San,73,Total,330
Ang Mo Kio,Cheng San,73,Males,160
Ang Mo Kio,Cheng San,73,Females,170
Ang Mo Kio,Cheng San,74,Total,330
Ang Mo Kio,Cheng San,74,Males,150
Ang Mo Kio,Cheng San,74,Females,180
Ang Mo Kio,Cheng San,75,Total,230
Ang Mo Kio,Cheng San,75,Males,110
Ang Mo Kio,Cheng San,75,Females,130
Ang Mo Kio,Cheng San,76,Total,170
Ang Mo Kio,Cheng San,76,Males,80
Ang Mo Kio,Cheng San,76,Females,100
Ang Mo Kio,Cheng San,77,Total,220
Ang Mo Kio,Cheng San,77,Males,100
Ang Mo Kio,Cheng San,77,Females,120
Ang Mo Kio,Cheng San,78,Total,180
Ang Mo Kio,Cheng San,78,Males,90
Ang Mo Kio,Cheng San,78,Females,90
Ang Mo Kio,Cheng San,79,Total,170
Ang Mo Kio,Cheng San,79,Males,70
Ang Mo Kio,Cheng San,79,Females,100
Ang Mo Kio,Cheng San,80,Total,190
Ang Mo Kio,Cheng San,80,Males,70
Ang Mo Kio,Cheng San,80,Females,130
Ang Mo Kio,Cheng San,81,Total,180
Ang Mo Kio,Cheng San,81,Males,60
Ang Mo Kio,Cheng San,81,Females,110
Ang Mo Kio,Cheng San,82,Total,150
Ang Mo Kio,Cheng San,82,Males,70
Ang Mo Kio,Cheng San,82,Females,90
Ang Mo Kio,Cheng San,83,Total,110
Ang Mo Kio,Cheng San,83,Males,50
Ang Mo Kio,Cheng San,83,Females,60
Ang Mo Kio,Cheng San,84,Total,80
Ang Mo Kio,Cheng San,84,Males,40
Ang Mo Kio,Cheng San,84,Females,40
Ang Mo Kio,Cheng San,85,Total,100
Ang Mo Kio,Cheng San,85,Males,50
Ang Mo Kio,Cheng San,85,Females,50
Ang Mo Kio,Cheng San,86,Total,90
Ang Mo Kio,Cheng San,86,Males,40
Ang Mo Kio,Cheng San,86,Females,50
Ang Mo Kio,Cheng San,87,Total,70
Ang Mo Kio,Cheng San,87,Males,30
Ang Mo Kio,Cheng San,87,Females,40
Ang Mo Kio,Cheng San,88,Total,70
Ang Mo Kio,Cheng San,88,Males,20
Ang Mo Kio,Cheng San,88,Females,40
Ang Mo Kio,Cheng San,89,Total,30
Ang Mo Kio,Cheng San,89,Males,10
Ang Mo Kio,Cheng San,89,Females,20
Ang Mo Kio,Cheng San,90 & Over,Total,200
Ang Mo Kio,Cheng San,90 & Over,Males,60
Ang Mo Kio,Cheng San,90 & Over,Females,140
Ang Mo Kio,Chong Boon,Total,Total,"25,800"
Ang Mo Kio,Chong Boon,Total,Males,"12,510"
Ang Mo Kio,Chong Boon,Total,Females,"13,290"
Ang Mo Kio,Chong Boon,0,Total,140
Ang Mo Kio,Chong Boon,0,Males,60
Ang Mo Kio,Chong Boon,0,Females,80
Ang Mo Kio,Chong Boon,1,Total,160
Ang Mo Kio,Chong Boon,1,Males,80
Ang Mo Kio,Chong Boon,1,Females,80
Ang Mo Kio,Chong Boon,2,Total,160
Ang Mo Kio,Chong Boon,2,Males,80
Ang Mo Kio,Chong Boon,2,Females,80
Ang Mo Kio,Chong Boon,3,Total,150
Ang Mo Kio,Chong Boon,3,Males,90
Ang Mo Kio,Chong Boon,3,Females,70
Ang Mo Kio,Chong Boon,4,Total,160
Ang Mo Kio,Chong Boon,4,Males,80
Ang Mo Kio,Chong Boon,4,Females,80
Ang Mo Kio,Chong Boon,5,Total,170
Ang Mo Kio,Chong Boon,5,Males,100
Ang Mo Kio,Chong Boon,5,Females,80
Ang Mo Kio,Chong Boon,6,Total,160
Ang Mo Kio,Chong Boon,6,Males,80
Ang Mo Kio,Chong Boon,6,Females,80
Ang Mo Kio,Chong Boon,7,Total,170
Ang Mo Kio,Chong Boon,7,Males,90
Ang Mo Kio,Chong Boon,7,Females,80
Ang Mo Kio,Chong Boon,8,Total,180
Ang Mo Kio,Chong Boon,8,Males,100
Ang Mo Kio,Chong Boon,8,Females,80
Ang Mo Kio,Chong Boon,9,Total,150
Ang Mo Kio,Chong Boon,9,Males,80
Ang Mo Kio,Chong Boon,9,Females,70
Ang Mo Kio,Chong Boon,10,Total,160
Ang Mo Kio,Chong Boon,10,Males,90
Ang Mo Kio,Chong Boon,10,Females,70
Ang Mo Kio,Chong Boon,11,Total,180
Ang Mo Kio,Chong Boon,11,Males,100
Ang Mo Kio,Chong Boon,11,Females,80
Ang Mo Kio,Chong Boon,12,Total,210
Ang Mo Kio,Chong Boon,12,Males,100
Ang Mo Kio,Chong Boon,12,Females,110
Ang Mo Kio,Chong Boon,13,Total,200
Ang Mo Kio,Chong Boon,13,Males,110
Ang Mo Kio,Chong Boon,13,Females,90
Ang Mo Kio,Chong Boon,14,Total,200
Ang Mo Kio,Chong Boon,14,Males,110
Ang Mo Kio,Chong Boon,14,Females,90
Ang Mo Kio,Chong Boon,15,Total,230
Ang Mo Kio,Chong Boon,15,Males,140
Ang Mo Kio,Chong Boon,15,Females,90
Ang Mo Kio,Chong Boon,16,Total,190
Ang Mo Kio,Chong Boon,16,Males,110
Ang Mo Kio,Chong Boon,16,Females,80
Ang Mo Kio,Chong Boon,17,Total,170
Ang Mo Kio,Chong Boon,17,Males,90
Ang Mo Kio,Chong Boon,17,Females,80
Ang Mo Kio,Chong Boon,18,Total,220
Ang Mo Kio,Chong Boon,18,Males,120
Ang Mo Kio,Chong Boon,18,Females,100
Ang Mo Kio,Chong Boon,19,Total,220
Ang Mo Kio,Chong Boon,19,Males,120
Ang Mo Kio,Chong Boon,19,Females,110
Ang Mo Kio,Chong Boon,20,Total,250
Ang Mo Kio,Chong Boon,20,Males,140
Ang Mo Kio,Chong Boon,20,Females,110
Ang Mo Kio,Chong Boon,21,Total,240
Ang Mo Kio,Chong Boon,21,Males,120
Ang Mo Kio,Chong Boon,21,Females,120
Ang Mo Kio,Chong Boon,22,Total,250
