Planning Area,Subzone,Age,Sex,Count
Ang Mo Kio,Ang Mo Kio Town Centre,6,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,7,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,7,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,7,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,8,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,8,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,8,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,9,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,9,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,9,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,10,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,10,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,10,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,11,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,11,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,11,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,12,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,12,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,12,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,13,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,13,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,13,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,14,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,14,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,14,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,15,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,15,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,15,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,16,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,16,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,16,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,17,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,17,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,17,Females,40
Ang Mo Kio,Ang Mo Kio Town Centre,18,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,18,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,18,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,19,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,19,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,19,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,20,Total,70
Ang Mo Kio,Ang Mo Kio Town Centre,20,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,20,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,21,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,21,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,21,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,22,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,22,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,22,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,23,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,23,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,23,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,24,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,24,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,24,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,25,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,25,Males,30
Ang Mo Kio,Ang Mo Kio Town Centre,25,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,26,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,26,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,26,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,27,Total,40
Ang Mo Kio,Ang Mo Kio Town Centre,27,Males,20
Ang Mo Kio,Ang Mo Kio Town Centre,27,Females,20
Ang Mo Kio,Ang Mo Kio Town Centre,28,Total,60
Ang Mo Kio,Ang Mo Kio Town Centre,28,Males,40
Ang Mo Kio,Ang Mo Kio Town Centre,28,Females,30
Ang Mo Kio,Ang Mo Kio Town Centre,29,Total,50
Ang Mo Kio,Ang Mo Kio Town Centre,29,Males,30
